order_date,store_id,product_id,category,region,season,inventory_level,units_sold,units_ordered,demand_forecast,inventory_turnover,demand_supply_gap,estimated_revenue,estimated_margin,inventory_status,promotion_effectiveness
2022-01-01,S001,P0012,Clothing,West,Spring,66,24,70,26.75,0.3636,-39.25,1118.4,-374.6399999999999,"Healthy Stock","No Promotion"
2022-01-01,S001,P0013,Toys,South,Spring,96,42,85,41.46,0.4375,-54.54,1831.2,-113.81999999999994,"Healthy Stock","No Promotion"
2022-01-01,S001,P0014,Clothing,West,Spring,193,12,187,6.8,0.0622,-186.2,937.3199999999999,-23.40000000000009,"Healthy Stock","No Promotion"
2022-01-01,S001,P0015,Clothing,North,Winter,379,369,154,363.46,0.9736,-15.54000000000002,29166.313499999997,-6183.8865000000005,Overstock,"No Promotion"
2022-01-01,S001,P0016,Electronics,North,Autumn,363,255,69,255.74,0.7025,-107.25999999999999,5305.275,136.42500000000018,Overstock,"Low Promotion Impact"
2022-01-01,S001,P0017,Toys,West,Winter,318,246,177,255.37,0.7736,-62.629999999999995,4146.576,90.03600000000051,Overstock,"No Promotion"
2022-01-01,S001,P0018,Clothing,South,Autumn,241,151,47,147.27,0.6266,-93.72999999999999,2807.3165,-685.3134999999997,Overstock,"No Promotion"
2022-01-01,S001,P0019,Clothing,East,Winter,352,257,186,267.38,0.7301,-84.62,16949.664,-2906.155999999999,Overstock,"No Promotion"
2022-01-01,S001,P0020,Toys,East,Spring,274,99,166,115.23,0.3613,-158.76999999999998,2844.0719999999997,161.17199999999957,Overstock,"No Promotion"
2022-01-01,S002,P0001,Groceries,South,Spring,343,104,144,112.55,0.3032,-230.45,2728.96,-472.15999999999985,Overstock,"Low Promotion Impact"
2022-01-01,S002,P0002,Clothing,West,Winter,373,141,151,135.62,0.3780,-237.38,5857.704,-516.906,Overstock,"High Promotion Impact"
2022-01-01,S002,P0003,Furniture,East,Spring,445,182,119,176.31,0.4090,-268.69,2978.9760000000006,-1025.0239999999994,Overstock,"High Promotion Impact"
2022-01-01,S002,P0004,Toys,West,Autumn,191,63,115,54.57,0.3298,-136.43,1649.97,-117.80999999999995,"Healthy Stock","No Promotion"
2022-01-01,S002,P0005,Toys,West,Autumn,281,156,25,150.9,0.5552,-130.1,10394.592000000002,-2185.247999999998,Overstock,"No Promotion"
2022-01-01,S002,P0006,Furniture,North,Winter,492,250,168,242.57,0.5081,-249.43,17118,-4587,Overstock,"No Promotion"
2022-01-01,S002,P0007,Groceries,West,Summer,460,393,70,401.48,0.8543,-58.51999999999998,34023.3855,-2655.3045000000056,Overstock,"No Promotion"
2022-01-01,S002,P0008,Electronics,West,Summer,304,29,99,35.54,0.0954,-268.46,1553.472,-341.9680000000001,Overstock,"No Promotion"
2022-01-01,S002,P0009,Clothing,South,Winter,113,9,84,14.78,0.0796,-98.22,695.0295,-43.51049999999998,"Healthy Stock","Low Promotion Impact"
2022-01-01,S002,P0010,Electronics,North,Winter,157,126,181,132.75,0.8025,-24.25,7665.84,-551.8799999999992,"Healthy Stock","Low Promotion Impact"
2022-01-01,S002,P0011,Groceries,West,Autumn,67,13,33,7.44,0.1940,-59.56,450.05999999999995,8.319999999999993,"Healthy Stock","High Promotion Impact"
2022-01-01,S002,P0012,Groceries,East,Winter,281,25,136,37.27,0.0890,-243.73,464.5499999999999,-10.70000000000016,Overstock,"Low Promotion Impact"
2022-01-01,S002,P0013,Clothing,East,Spring,389,283,177,299.7,0.7275,-89.30000000000001,13081.392,-3474.108,Overstock,"No Promotion"
2022-01-01,S002,P0014,Electronics,East,Summer,465,359,77,370.36,0.7720,-94.63999999999999,26215.615999999998,-6399.534,Overstock,"No Promotion"
2022-01-01,S002,P0015,Toys,South,Winter,197,129,94,148.55,0.6548,-48.44999999999999,6568.034999999999,-556.6350000000002,"Healthy Stock","Low Promotion Impact"
2022-01-01,S002,P0016,Toys,South,Spring,242,63,85,58.07,0.2603,-183.93,2300.7599999999998,-355.9500000000003,Overstock,"High Promotion Impact"
2022-01-01,S002,P0017,Groceries,West,Winter,398,373,92,390.89,0.9372,-7.110000000000014,3494.264,-235.73599999999988,Overstock,"Low Promotion Impact"
2022-01-01,S002,P0018,Groceries,North,Summer,234,160,140,177.41,0.6838,-56.59,8943.68,241.28000000000065,Overstock,"No Promotion"
2022-01-01,S002,P0019,Toys,East,Winter,67,15,186,34.38,0.2239,-32.62,1211.1074999999998,-4.192500000000109,"Healthy Stock","Low Promotion Impact"
2022-01-01,S002,P0020,Toys,West,Spring,221,101,38,115,0.4570,-106,8797.099999999999,-450.46000000000095,Overstock,"Low Promotion Impact"
2022-01-01,S003,P0001,Toys,South,Summer,241,147,180,161.09,0.6100,-79.91,9385.876499999998,-520.4535000000014,Overstock,"Low Promotion Impact"
2022-01-01,S003,P0002,Electronics,West,Spring,115,4,169,11.11,0.0348,-103.89,101.52,-1,"Healthy Stock","Low Promotion Impact"
2022-01-01,S003,P0003,Groceries,South,Spring,375,77,145,75.04,0.2053,-299.96,3891.888,-509.4319999999998,Overstock,"High Promotion Impact"
2022-01-01,S003,P0004,Toys,South,Winter,153,31,145,42.99,0.2026,-110.00999999999999,2220.344,-681.2559999999999,"Healthy Stock","Low Promotion Impact"
2022-01-01,S003,P0005,Clothing,West,Winter,438,325,20,330.92,0.7420,-107.07999999999998,25467,-4933.500000000004,Overstock,"No Promotion"
2022-01-01,S003,P0006,Groceries,North,Summer,456,163,22,159.17,0.3575,-296.83000000000004,11825.8945,190.95450000000164,Overstock,"High Promotion Impact"
2022-01-01,S003,P0007,Electronics,North,Summer,189,34,107,26.91,0.1799,-162.09,2514.011,-562.989,"Healthy Stock","High Promotion Impact"
2022-01-01,S003,P0008,Toys,North,Spring,223,47,107,45.48,0.2108,-177.52,2657.8734999999997,-653.7465000000002,Overstock,"High Promotion Impact"
2022-01-01,S003,P0009,Groceries,South,Winter,381,15,184,30.05,0.0394,-350.95,954.465,-154.485,Overstock,"Low Promotion Impact"
2022-01-01,S003,P0010,Groceries,South,Summer,166,126,124,141.34,0.7590,-24.659999999999997,11621.672999999999,-449.1270000000004,"Healthy Stock","Low Promotion Impact"
2022-01-01,S003,P0011,Toys,East,Winter,292,232,155,242.02,0.7945,-49.97999999999999,13036.08,-385.1200000000008,Overstock,"Low Promotion Impact"
2022-01-01,S003,P0012,Electronics,North,Summer,311,175,55,176.75,0.5627,-134.25,12653.2,-3012.7999999999993,Overstock,"No Promotion"
2022-01-01,S003,P0013,Furniture,North,Summer,51,17,172,12.86,0.3333,-38.14,1006.1280000000002,-296.922,"Healthy Stock","High Promotion Impact"
2022-01-01,S003,P0014,Electronics,South,Spring,398,369,26,387.88,0.9271,-10.120000000000005,27703.9665,-2742.2235000000037,Overstock,"No Promotion"
2022-01-01,S003,P0015,Clothing,West,Autumn,445,260,24,266.36,0.5843,-178.64,6846.839999999999,794.039999999999,Overstock,"No Promotion"
2022-01-01,S003,P0016,Groceries,South,Winter,487,347,93,349.36,0.7125,-137.64,28958.191,-5596.069000000003,Overstock,"No Promotion"
2022-01-01,S003,P0017,Clothing,East,Spring,429,150,168,157.82,0.3497,-271.18,3861.75,-248.25,Overstock,"Low Promotion Impact"
2022-01-01,S003,P0018,Toys,West,Winter,204,70,170,83.01,0.3431,-120.99,5776.259999999999,-865.3400000000001,Overstock,"Low Promotion Impact"
2022-01-01,S003,P0019,Clothing,East,Summer,330,249,37,268.25,0.7545,-61.75,5653.1714999999995,-524.5185000000001,Overstock,"Low Promotion Impact"
2022-01-01,S003,P0020,Electronics,North,Spring,431,370,99,387.57,0.8585,-43.43000000000001,28371.600000000002,-7037.399999999998,Overstock,"Low Promotion Impact"
2022-01-01,S004,P0001,Toys,South,Winter,477,271,66,286.65,0.5681,-190.35000000000002,3598.0669999999996,-762.3230000000008,Overstock,"No Promotion"
2022-01-01,S004,P0002,Clothing,North,Autumn,462,180,183,176.06,0.3896,-285.94,7033.2300000000005,-1075.7699999999986,Overstock,"No Promotion"
2022-01-01,S004,P0003,Clothing,West,Autumn,446,344,27,352.93,0.7713,-93.07,24580.864,-7411.135999999999,Overstock,"No Promotion"
2022-01-01,S004,P0004,Groceries,West,Spring,437,0,160,-2.4,0.0000,-439.4,0,0,Overstock,"No Promotion"
2022-01-01,S004,P0005,Groceries,North,Spring,397,200,172,196.57,0.5038,-200.43,16344,-700,Overstock,"High Promotion Impact"
2022-01-01,S004,P0006,Electronics,East,Summer,470,382,195,396.4,0.8128,-73.60000000000002,14216.130000000001,-1010.3899999999994,Overstock,"No Promotion"
2022-01-01,S004,P0007,Electronics,West,Summer,264,190,139,197.45,0.7197,-66.55000000000001,10223.520000000002,-2084.6799999999985,Overstock,"No Promotion"
2022-01-01,S004,P0008,Furniture,South,Winter,250,51,137,54.98,0.2040,-195.02,3503.9040000000005,-889.2359999999999,Overstock,"Low Promotion Impact"
2022-01-01,S004,P0009,Furniture,North,Summer,63,40,73,51.78,0.6349,-11.219999999999999,2132.2799999999997,-311.72000000000025,"Healthy Stock","Low Promotion Impact"
2022-01-01,S004,P0010,Groceries,East,Summer,447,104,96,115.03,0.2327,-331.97,2959.6319999999996,-903.9680000000003,Overstock,"No Promotion"
2022-01-01,S004,P0011,Electronics,West,Spring,205,46,27,46.65,0.2244,-158.35,2522.6400000000003,-134.3199999999997,Overstock,"Low Promotion Impact"
2022-01-01,S004,P0012,Electronics,North,Spring,349,9,165,0.95,0.0258,-348.05,121.83749999999999,-45.2025,Overstock,"High Promotion Impact"
2022-01-01,S004,P0013,Furniture,East,Autumn,191,56,65,54.47,0.2932,-136.53,3461.36,-118.15999999999985,"Healthy Stock","No Promotion"
2022-01-01,S004,P0014,Electronics,West,Winter,406,63,139,69.73,0.1552,-336.27,3795.4980000000005,-518.1119999999992,Overstock,"Low Promotion Impact"
2022-01-01,S004,P0015,Clothing,South,Autumn,228,181,127,171.96,0.7939,-56.03999999999999,10409.853,-1404.0169999999998,Overstock,"No Promotion"
2022-01-01,S004,P0016,Groceries,South,Summer,263,94,24,98.05,0.3574,-164.95,7531.374,-1562.1859999999997,Overstock,"No Promotion"
2022-01-01,S004,P0017,Electronics,South,Winter,203,46,75,55.12,0.2266,-147.88,1175.3,-115.92000000000007,Overstock,"No Promotion"
2022-01-01,S004,P0018,Groceries,West,Spring,143,8,27,27.3,0.0559,-115.7,127.148,-23.171999999999997,"Healthy Stock","Low Promotion Impact"
2022-01-01,S004,P0019,Groceries,West,Spring,359,172,125,181.25,0.4791,-177.75,10409.439999999999,-2292.76,Overstock,"Low Promotion Impact"
2022-01-01,S004,P0020,Clothing,West,Winter,211,68,37,86.27,0.3223,-124.73,625.6,-4.079999999999927,Overstock,"No Promotion"
2022-01-01,S005,P0001,Toys,West,Winter,111,77,60,83.47,0.6937,-27.53,4873.869,-538.4610000000011,"Healthy Stock","No Promotion"
2022-01-01,S005,P0002,Clothing,West,Autumn,415,298,107,292.96,0.7181,-122.04000000000002,16179.164999999999,-1912.4150000000027,Overstock,"High Promotion Impact"
2022-01-01,S005,P0003,Electronics,North,Spring,384,64,26,76.02,0.1667,-307.98,2199.136,-420.384,Overstock,"No Promotion"
2022-01-01,S005,P0004,Furniture,West,Spring,436,300,174,292.04,0.6881,-143.95999999999998,12946.35,-3463.6499999999996,Overstock,"High Promotion Impact"
2022-01-01,S005,P0005,Clothing,West,Winter,180,21,47,38.63,0.1167,-141.37,1657.551,-364.749,"Healthy Stock","Low Promotion Impact"
2022-01-01,S005,P0006,Groceries,North,Summer,185,176,163,174.06,0.9514,-10.939999999999998,8555.008,-2207.392,"Healthy Stock","No Promotion"
2022-01-01,S005,P0007,Clothing,South,Summer,292,131,140,122.6,0.4486,-169.4,5174.434499999999,-1485.6055000000015,Overstock,"No Promotion"
2022-01-01,S005,P0008,Toys,West,Winter,478,317,197,328.64,0.6632,-149.36,10263.192,613.7119999999995,Overstock,"Low Promotion Impact"
2022-01-01,S005,P0009,Groceries,West,Spring,182,97,27,92.62,0.5330,-89.38,8091.691499999999,-196.95850000000064,"Healthy Stock","No Promotion"
2022-01-01,S005,P0010,Clothing,East,Summer,87,8,141,14.38,0.0920,-72.62,266.688,-28.27199999999999,"Healthy Stock","Low Promotion Impact"
2022-01-01,S005,P0011,Groceries,West,Summer,427,104,128,94.65,0.2436,-332.35,5065.632,-449.4880000000003,Overstock,"High Promotion Impact"
2022-01-01,S005,P0012,Electronics,West,Summer,245,87,188,90.59,0.3551,-154.41,5001.978,-525.1319999999996,Overstock,"No Promotion"
2022-01-01,S005,P0013,Furniture,South,Summer,317,238,95,256.57,0.7508,-60.43000000000001,18580.898,-2146.522000000001,Overstock,"No Promotion"
2022-01-01,S005,P0014,Electronics,South,Autumn,325,171,43,188.55,0.5262,-136.45,5830.416,-1353.2939999999999,Overstock,"Low Promotion Impact"
2022-01-01,S005,P0015,Furniture,West,Spring,411,250,119,260.79,0.6083,-150.20999999999998,2596.5,-221,Overstock,"No Promotion"
2022-01-01,S005,P0016,Clothing,South,Winter,71,11,32,1.85,0.1549,-69.15,170.335,-27.444999999999993,"Healthy Stock","No Promotion"
2022-01-01,S005,P0017,Electronics,East,Spring,388,371,98,390.04,0.9562,2.0400000000000205,31002.0585,-6995.7615000000005,Overstock,"Low Promotion Impact"
2022-01-01,S005,P0018,Furniture,West,Spring,161,107,66,103.97,0.6646,-57.03,4714.848,-638.3620000000001,"Healthy Stock","High Promotion Impact"
2022-01-01,S005,P0019,Groceries,South,Spring,235,106,124,119.33,0.4511,-115.67,8883.753999999999,-779.2060000000001,Overstock,"No Promotion"
2022-01-01,S005,P0020,Electronics,South,Autumn,108,101,52,105.92,0.9352,-2.0799999999999983,1003.536,80.39599999999984,"Healthy Stock","Low Promotion Impact"
2022-01-02,S001,P0001,Groceries,West,Spring,116,81,104,92.94,0.6983,-23.060000000000002,2037.5549999999998,-464.5350000000003,"Healthy Stock","No Promotion"
2022-01-02,S001,P0002,Clothing,West,Spring,416,163,79,171.6,0.3918,-244.4,2740.5190000000002,-317.3609999999999,Overstock,"No Promotion"
2022-01-02,S001,P0003,Clothing,South,Summer,488,464,163,463.12,0.9508,-24.879999999999995,29645.424000000003,-4194.096000000001,Overstock,"No Promotion"
2022-01-02,S001,P0004,Groceries,East,Summer,248,116,107,133.92,0.4677,-114.08000000000001,5461.512,-391.84799999999996,Overstock,"No Promotion"
2022-01-02,S001,P0005,Electronics,East,Summer,238,200,40,204.3,0.8403,-33.69999999999999,4039.2,201.19999999999936,Overstock,"Low Promotion Impact"
2022-01-02,S001,P0006,Furniture,East,Summer,471,58,32,51.57,0.1231,-419.43,2758.48,42.92000000000007,Overstock,"High Promotion Impact"
2022-01-02,S001,P0007,Electronics,North,Autumn,178,56,149,60.3,0.3146,-117.7,909.7200000000001,-42.27999999999986,"Healthy Stock","Low Promotion Impact"
2022-01-02,S001,P0008,Clothing,East,Autumn,92,74,121,67.04,0.8043,-24.959999999999994,4139.967,-415.47300000000087,"Healthy Stock","No Promotion"
2022-01-02,S001,P0009,Toys,South,Spring,99,54,182,70.6,0.5455,-28.400000000000006,4309.6320000000005,-853.3079999999991,"Healthy Stock","No Promotion"
2022-01-02,S001,P0010,Clothing,North,Summer,171,39,163,47.8,0.2281,-123.2,423.852,-71.83800000000008,"Healthy Stock","No Promotion"
2022-01-02,S001,P0011,Furniture,East,Spring,215,12,173,16.92,0.0558,-198.07999999999998,646.08,0.6000000000000227,Overstock,"Low Promotion Impact"
2022-01-02,S001,P0012,Furniture,East,Summer,281,56,187,70.71,0.1993,-210.29000000000002,3077.0879999999997,-338.3520000000003,Overstock,"Low Promotion Impact"
2022-01-02,S001,P0013,Toys,North,Autumn,455,31,124,44.46,0.0681,-410.54,935.6885,-27.171500000000037,Overstock,"Low Promotion Impact"
2022-01-02,S001,P0014,Electronics,West,Spring,84,25,20,23.36,0.2976,-60.64,785.25,70.25,"Healthy Stock","High Promotion Impact"
2022-01-02,S001,P0015,Electronics,East,Winter,246,198,67,203.23,0.8049,-42.77000000000001,4444.704000000001,-1552.7159999999994,Overstock,"Low Promotion Impact"
2022-01-02,S001,P0016,Electronics,West,Summer,399,77,147,67.55,0.1930,-331.45,2334.6015,-592.9385000000002,Overstock,"No Promotion"
2022-01-02,S001,P0017,Furniture,West,Autumn,242,165,105,181.86,0.6818,-60.139999999999986,4417.214999999999,-120.28500000000076,Overstock,"No Promotion"
2022-01-02,S001,P0018,Toys,North,Summer,478,42,168,55.16,0.0879,-422.84000000000003,2969.3579999999997,43.21799999999985,Overstock,"No Promotion"
2022-01-02,S001,P0019,Furniture,South,Spring,156,8,67,24.41,0.0513,-131.59,698.8199999999999,-0.6200000000001182,"Healthy Stock","Low Promotion Impact"
2022-01-02,S001,P0020,Electronics,North,Autumn,221,174,168,187.49,0.7873,-33.50999999999999,17031.12,-281.880000000001,Overstock,"No Promotion"
2022-01-02,S002,P0001,Electronics,West,Summer,402,343,141,339.04,0.8532,-62.95999999999998,18266.808,-3657.7520000000004,Overstock,"High Promotion Impact"
2022-01-02,S002,P0002,Furniture,West,Winter,132,71,60,82.44,0.5379,-49.56,6094.782,-63.047999999999774,"Healthy Stock","No Promotion"
2022-01-02,S002,P0003,Groceries,West,Autumn,218,157,31,153.42,0.7202,-64.58000000000001,13757.595999999998,-304.89400000000205,Overstock,"High Promotion Impact"
2022-01-02,S002,P0004,Groceries,South,Spring,131,88,109,100.61,0.6718,-30.39,6046.48,-55.44000000000051,"Healthy Stock","No Promotion"
2022-01-02,S002,P0005,Groceries,North,Spring,93,64,128,57.53,0.6882,-35.47,5302.976,-494.78400000000056,"Healthy Stock","High Promotion Impact"
2022-01-02,S002,P0006,Groceries,East,Autumn,344,273,154,273.1,0.7936,-70.89999999999998,21670.739999999998,573.2999999999993,Overstock,"No Promotion"
2022-01-02,S002,P0007,Groceries,North,Summer,340,247,148,264.18,0.7265,-75.82,3655.2295000000004,303.4395000000004,Overstock,"No Promotion"
2022-01-02,S002,P0008,Electronics,North,Spring,241,42,187,46.32,0.1743,-194.68,528.36,-57.120000000000005,Overstock,"Low Promotion Impact"
2022-01-02,S002,P0009,Electronics,North,Spring,296,197,157,195.61,0.6655,-100.38999999999999,6008.5,323.0799999999999,Overstock,"No Promotion"
2022-01-02,S002,P0010,Groceries,West,Spring,472,374,65,387.41,0.7924,-84.58999999999997,8850.336,-3117.6640000000007,Overstock,"Low Promotion Impact"
2022-01-02,S002,P0011,Furniture,East,Winter,308,154,22,169.13,0.5000,-138.87,13647.480000000001,357.2800000000025,Overstock,"No Promotion"
2022-01-02,S002,P0012,Toys,North,Autumn,434,236,30,239.09,0.5438,-194.91,15547.68,-4071,Overstock,"No Promotion"
2022-01-02,S002,P0013,Toys,North,Summer,287,278,92,279.91,0.9686,-7.089999999999975,23161.014,-3830.006000000001,Overstock,"Low Promotion Impact"
2022-01-02,S002,P0014,Furniture,West,Autumn,190,27,134,31.53,0.1421,-158.47,2420.8469999999998,5.156999999999698,"Healthy Stock","No Promotion"
2022-01-02,S002,P0015,Toys,North,Winter,353,106,191,110.49,0.3003,-242.51,7482.54,-496.0799999999999,Overstock,"Low Promotion Impact"
2022-01-02,S002,P0016,Toys,West,Autumn,210,154,70,166.83,0.7333,-43.16999999999999,8749.818000000001,-1603.601999999999,Overstock,"No Promotion"
2022-01-02,S002,P0017,Clothing,West,Autumn,193,176,38,174.49,0.9119,-18.50999999999999,7697.888,411.4880000000003,"Healthy Stock","High Promotion Impact"
2022-01-02,S002,P0018,Groceries,East,Autumn,124,124,46,116.05,1.0000,-7.950000000000003,2351.412,-340.62800000000016,"Healthy Stock","No Promotion"
2022-01-02,S002,P0019,Toys,East,Winter,492,479,132,469.74,0.9736,-22.25999999999999,37893.69,-455.04999999999563,Overstock,"No Promotion"
2022-01-02,S002,P0020,Clothing,South,Summer,222,78,42,76.55,0.3514,-145.45,5069.219999999999,-31.980000000001382,Overstock,"High Promotion Impact"
2022-01-02,S003,P0001,Toys,West,Autumn,277,114,40,132.41,0.4116,-144.59,7539.048000000002,-731.6519999999973,Overstock,"No Promotion"
2022-01-02,S003,P0002,Groceries,East,Autumn,175,2,140,-3.4,0.0114,-178.4,175,-7.400000000000006,"Healthy Stock","No Promotion"
2022-01-02,S003,P0003,Toys,East,Autumn,157,7,187,22.8,0.0446,-134.2,496.608,-115.05199999999996,"Healthy Stock","Low Promotion Impact"
2022-01-02,S003,P0004,Furniture,West,Autumn,120,54,154,49.64,0.4500,-70.36,3557.9519999999998,-1077.9479999999999,"Healthy Stock","No Promotion"
2022-01-02,S003,P0005,Furniture,East,Winter,375,282,61,297.42,0.7520,-77.57999999999998,10330.224,17.48400000000038,Overstock,"No Promotion"
2022-01-02,S003,P0006,Groceries,East,Winter,302,93,33,106.58,0.3079,-195.42000000000002,9089.82,4.649999999999636,Overstock,"No Promotion"
2022-01-02,S003,P0007,Electronics,West,Autumn,375,85,40,85.31,0.2267,-289.69,2722.38,-398.8199999999997,Overstock,"No Promotion"
2022-01-02,S003,P0008,Clothing,South,Spring,248,136,50,130.52,0.5484,-117.47999999999999,4655.076,-443.5640000000003,Overstock,"No Promotion"
2022-01-02,S003,P0009,Electronics,West,Spring,219,140,196,139.46,0.6393,-79.53999999999999,12455.8,-358.40000000000146,Overstock,"High Promotion Impact"
2022-01-02,S003,P0010,Furniture,West,Spring,146,79,155,94.23,0.5411,-51.769999999999996,1171.728,-520.452,"Healthy Stock","Low Promotion Impact"
2022-01-02,S003,P0011,Furniture,South,Autumn,218,106,111,117.65,0.4862,-100.35,5568.498,-590.1020000000008,Overstock,"Low Promotion Impact"
2022-01-02,S003,P0012,Groceries,West,Winter,260,1,142,1.99,0.0038,-258.01,26.467,-5.313000000000002,Overstock,"Low Promotion Impact"
2022-01-02,S003,P0013,Electronics,West,Autumn,414,203,53,206.35,0.4903,-207.65,7548.148999999999,382.2489999999998,Overstock,"Low Promotion Impact"
2022-01-02,S003,P0014,Toys,North,Spring,420,368,71,384.47,0.8762,-35.52999999999997,24475.68,-1593.4400000000023,Overstock,"No Promotion"
2022-01-02,S003,P0015,Electronics,East,Winter,435,286,159,283.25,0.6575,-151.75,20511.920000000002,-3795.2199999999975,Overstock,"No Promotion"
2022-01-02,S003,P0016,Clothing,South,Spring,230,69,173,70.77,0.3000,-159.23000000000002,4785.84,-1496.6099999999997,Overstock,"No Promotion"
2022-01-02,S003,P0017,Toys,South,Summer,456,52,78,65.67,0.1140,-390.33,1235.1040000000003,-78.9359999999997,Overstock,"No Promotion"
2022-01-02,S003,P0018,Toys,East,Winter,319,109,83,126.67,0.3417,-192.32999999999998,8527.833,-474.47699999999895,Overstock,"Low Promotion Impact"
2022-01-02,S003,P0019,Furniture,North,Spring,59,50,135,44.37,0.8475,-14.630000000000003,2669.85,-79.15000000000009,"Healthy Stock","No Promotion"
2022-01-02,S003,P0020,Electronics,East,Summer,155,0,92,9.42,0.0000,-145.58,0,0,"Healthy Stock","Low Promotion Impact"
2022-01-02,S004,P0001,Electronics,North,Autumn,144,22,45,39.12,0.1528,-104.88,1386.792,-147.48800000000006,"Healthy Stock","No Promotion"
2022-01-02,S004,P0002,Electronics,East,Spring,283,45,156,46.65,0.1590,-236.35,2672.1,-135.9000000000001,Overstock,"Low Promotion Impact"
2022-01-02,S004,P0003,Clothing,East,Spring,347,89,122,87.77,0.2565,-259.23,4288.0199999999995,-129.9400000000005,Overstock,"High Promotion Impact"
2022-01-02,S004,P0004,Groceries,East,Autumn,410,209,128,224.66,0.5098,-185.34,15842.2,-2988.699999999997,Overstock,"No Promotion"
2022-01-02,S004,P0005,Toys,West,Autumn,99,4,76,14.91,0.0404,-84.09,231.382,-6.298000000000002,"Healthy Stock","No Promotion"
2022-01-02,S004,P0006,Toys,East,Autumn,97,47,138,52.02,0.4845,-44.98,656.8014999999999,-135.14850000000013,"Healthy Stock","No Promotion"
2022-01-02,S004,P0007,Furniture,West,Spring,339,115,95,124.22,0.3392,-214.78,3424.8150000000005,141.5650000000005,Overstock,"No Promotion"
2022-01-02,S004,P0008,Toys,South,Summer,144,27,119,21.73,0.1875,-122.27,2266.3125,-506.5875000000001,"Healthy Stock","No Promotion"
2022-01-02,S004,P0009,Furniture,South,Autumn,110,90,28,103.6,0.8182,-6.400000000000006,892.8000000000001,122.39999999999998,"Healthy Stock","No Promotion"
2022-01-02,S004,P0010,Groceries,South,Autumn,348,206,67,214.99,0.5920,-133.01,16110.951000000001,-1977.9089999999997,Overstock,"Low Promotion Impact"
2022-01-02,S004,P0011,Toys,East,Spring,458,328,144,339.54,0.7162,-118.45999999999998,24172.288,-4485.072,Overstock,"Low Promotion Impact"
2022-01-02,S004,P0012,Groceries,South,Spring,403,155,24,145.99,0.3846,-257.01,4636.36,-1363.6900000000005,Overstock,"No Promotion"
2022-01-02,S004,P0013,Clothing,West,Spring,198,184,161,191.55,0.9293,-6.449999999999989,14133.96,-731.4000000000015,"Healthy Stock","Low Promotion Impact"
2022-01-02,S004,P0014,Electronics,East,Autumn,472,16,166,28.75,0.0339,-443.25,1322.24,68.6400000000001,Overstock,"No Promotion"
2022-01-02,S004,P0015,Toys,North,Summer,178,90,79,98.56,0.5056,-79.44,7467.39,-1268.909999999999,"Healthy Stock","Low Promotion Impact"
2022-01-02,S004,P0016,Clothing,West,Spring,215,178,111,180.76,0.8279,-34.24000000000001,10930.98,16.019999999998618,Overstock,"No Promotion"
2022-01-02,S004,P0017,Electronics,South,Spring,477,256,150,254.89,0.5367,-222.11,19757.056,-4140.543999999998,Overstock,"No Promotion"
2022-01-02,S004,P0018,Furniture,South,Spring,198,27,62,25.51,0.1364,-172.49,2411.91,-8.099999999999909,"Healthy Stock","No Promotion"
2022-01-02,S004,P0019,Groceries,North,Spring,110,67,83,79.41,0.6091,-30.590000000000003,3188.664,-667.1859999999997,"Healthy Stock","Low Promotion Impact"
